reference_designator,array_name,name,description,min_depth,max_depth,longitude,latitude
GI05MOAS,Global Irminger Sea,Mobile Assets,"Gliders are buoyancy-driven mobile assets. They change their buoyancy by drawing in water through their nose making their front end heavy causing them to sink through the water. To float back up to the surface, they push the water out. Their wings provide lift allowing the gliders to move forward as they change depth. Due to their efficient design, with no need for propellors or an engine, gliders can be deployed for several months at a time.",0,1000,,
GP02HYPM,Global Station Papa,Apex Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",150,4219,,
GP03FLMA,Global Station Papa,Flanking Subsurface Mooring A,"Flanking Subsurface Moorings are located at global sites and contain instruments fixed at specific depths along the mooring riser. The flotation buoy for subsurface moorings is located below the sea surface. As they have no surface expression, these moorings communicate and send data to shore via an acoustic link to nearby gliders.",30,4126,,
GP03FLMB,Global Station Papa,Flanking Subsurface Mooring B,"Flanking Subsurface Moorings are located at global sites and contain instruments fixed at specific depths along the mooring riser. The flotation buoy for subsurface moorings is located below the sea surface. As they have no surface expression, these moorings communicate and send data to shore via an acoustic link to nearby gliders.",30,4145,,
GP05MOAS,Global Station Papa,Mobile Assets,"Gliders are buoyancy-driven mobile assets. They change their buoyancy by drawing in water through their nose making their front end heavy causing them to sink through the water. To float back up to the surface, they push the water out. Their wings provide lift allowing the gliders to move forward as they change depth. Due to their efficient design, with no need for propellors or an engine, gliders can be deployed for several months at a time.",0,1000,,
GS01SUMO,Global Southern Ocean,Apex Surface Mooring,"A Surface Mooring is a type of mooring that contains a surface buoy floating on the sea surface and instruments located at fixed depths through the water column. The surface buoy provides a platform on which to secure surface instruments, allowing for the collection of data in the air and in the water, as well as an antenna to transmit data to shore via satellite.",0,4800,,
GS02HYPM,Global Southern Ocean,Apex Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",150,4800,,
GS03FLMA,Global Southern Ocean,Flanking Subsurface Mooring A,"Flanking Subsurface Moorings are located at global sites and contain instruments fixed at specific depths along the mooring riser. The flotation buoy for subsurface moorings is located below the sea surface. As they have no surface expression, these moorings communicate and send data to shore via an acoustic link to nearby gliders.",30,4800,,
GS03FLMB,Global Southern Ocean,Flanking Subsurface Mooring B,"Flanking Subsurface Moorings are located at global sites and contain instruments fixed at specific depths along the mooring riser. The flotation buoy for subsurface moorings is located below the sea surface. As they have no surface expression, these moorings communicate and send data to shore via an acoustic link to nearby gliders.",30,4800,,
GS05MOAS,Global Southern Ocean,Mobile Assets,"Gliders are buoyancy-driven mobile assets. They change their buoyancy by drawing in water through their nose making their front end heavy causing them to sink through the water. To float back up to the surface, they push the water out. Their wings provide lift allowing the gliders to move forward as they change depth. Due to their efficient design, with no need for propellors or an engine, gliders can be deployed for several months at a time.",0,1000,,
RS01SBPD,Cabled Continental Margin,Oregon Slope Base Deep Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",200,2905,-125.3806467,44.527435
RS01SBPS,Cabled Continental Margin,Oregon Slope Base Shallow Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",5,2905,-125.389285,44.52898167
RS01SHDR,Cabled Continental Margin,Hydrate Ridge Primary Infrastructure,"Primary Nodes are connected to the land-based shore station in Pacific City, Oregon via fiber-optic cables. These nodes convert high power from the shore station to a lower power and distribute that power and communication to junction boxes along the Juan de Fuca Plate through their science ports. Primary Nodes also receive data and communications from the junction boxes which they transmit back to shore.",2908,2908,,
RS01SLBS,Cabled Continental Margin,Oregon Slope Base Seafloor,"A Junction Box (JBox) rests on the seafloor and is connected to shore via a series of fiber optic cables. Several instruments can be attached to a single Jbox and Jboxes can be connected to each other. Jboxes draw energy from the cables to power instruments and to transmit data from the instruments back to shore. In this way, Jboxes act like both a power strip and a converter. The OOI employs three kinds of Jboxes: Low Voltage (LV) Node, Low-Power (LP) Jbox, and Medium Power (MP) JBox. LV Nodes convert high power from the primary node to a lower power that can then be distributed LP or MP Jboxes and cabled moorings. LV Nodes cannot directly connect to instruments. LP Jboxes directly connect to instruments and receive power from LV Nodes. LP Jboxes convert power from LV Nodes into the appropriate power for their associated instruments. The MP Jbox can draw power from either a primary node or a LV Node as well as connect directly to instruments and other Jboxes. The MP Jbox converts high power from the primary node to a lower, medium-level power that that can then be distributed to other nodes.",2905,2924,-125.3898483,44.51530333
RS01SUM1,Cabled Continental Margin,Southern Hydrate Summit 1 Seafloor,"A Junction Box (JBox) rests on the seafloor and is connected to shore via a series of fiber optic cables. Several instruments can be attached to a single Jbox and Jboxes can be connected to each other. Jboxes draw energy from the cables to power instruments and to transmit data from the instruments back to shore. In this way, Jboxes act like both a power strip and a converter. The OOI employs three kinds of Jboxes: Low Voltage (LV) Node, Low-Power (LP) Jbox, and Medium Power (MP) JBox. LV Nodes convert high power from the primary node to a lower power that can then be distributed LP or MP Jboxes and cabled moorings. LV Nodes cannot directly connect to instruments. LP Jboxes directly connect to instruments and receive power from LV Nodes. LP Jboxes convert power from LV Nodes into the appropriate power for their associated instruments. The MP Jbox can draw power from either a primary node or a LV Node as well as connect directly to instruments and other Jboxes. The MP Jbox converts high power from the primary node to a lower, medium-level power that that can then be distributed to other nodes.",779,779,-125.1480683,44.56914833
RS01SUM2,Cabled Continental Margin,Southern Hydrate Summit 2 Seafloor,"A Junction Box (JBox) rests on the seafloor and is connected to shore via a series of fiber optic cables. Several instruments can be attached to a single Jbox and Jboxes can be connected to each other. Jboxes draw energy from the cables to power instruments and to transmit data from the instruments back to shore. In this way, Jboxes act like both a power strip and a converter. The OOI employs three kinds of Jboxes: Low Voltage (LV) Node, Low-Power (LP) Jbox, and Medium Power (MP) JBox. LV Nodes convert high power from the primary node to a lower power that can then be distributed LP or MP Jboxes and cabled moorings. LV Nodes cannot directly connect to instruments. LP Jboxes directly connect to instruments and receive power from LV Nodes. LP Jboxes convert power from LV Nodes into the appropriate power for their associated instruments. The MP Jbox can draw power from either a primary node or a LV Node as well as connect directly to instruments and other Jboxes. The MP Jbox converts high power from the primary node to a lower, medium-level power that that can then be distributed to other nodes.",811,811,-125.1468317,44.56985667
RS03ASHS,Cabled Axial Seamount,ASHES Vent Field,"A Junction Box (JBox) rests on the seafloor and is connected to shore via a series of fiber optic cables. Several instruments can be attached to a single Jbox and Jboxes can be connected to each other. Jboxes draw energy from the cables to power instruments and to transmit data from the instruments back to shore. In this way, Jboxes act like both a power strip and a converter. The OOI employs three kinds of Jboxes: Low Voltage (LV) Node, Low-Power (LP) Jbox, and Medium Power (MP) JBox. LV Nodes convert high power from the primary node to a lower power that can then be distributed LP or MP Jboxes and cabled moorings. LV Nodes cannot directly connect to instruments. LP Jboxes directly connect to instruments and receive power from LV Nodes. LP Jboxes convert power from LV Nodes into the appropriate power for their associated instruments. The MP Jbox can draw power from either a primary node or a LV Node as well as connect directly to instruments and other Jboxes. The MP Jbox converts high power from the primary node to a lower, medium-level power that that can then be distributed to other nodes.",1552,1552,-130.013925,45.93374167
RS03AXBS,Cabled Axial Seamount,Axial Base Seafloor,"A Junction Box (JBox) rests on the seafloor and is connected to shore via a series of fiber optic cables. Several instruments can be attached to a single Jbox and Jboxes can be connected to each other. Jboxes draw energy from the cables to power instruments and to transmit data from the instruments back to shore. In this way, Jboxes act like both a power strip and a converter. The OOI employs three kinds of Jboxes: Low Voltage (LV) Node, Low-Power (LP) Jbox, and Medium Power (MP) JBox. LV Nodes convert high power from the primary node to a lower power that can then be distributed LP or MP Jboxes and cabled moorings. LV Nodes cannot directly connect to instruments. LP Jboxes directly connect to instruments and receive power from LV Nodes. LP Jboxes convert power from LV Nodes into the appropriate power for their associated instruments. The MP Jbox can draw power from either a primary node or a LV Node as well as connect directly to instruments and other Jboxes. The MP Jbox converts high power from the primary node to a lower, medium-level power that that can then be distributed to other nodes.",2522,2639,-129.7542683,45.81682
RS03AXPD,Cabled Axial Seamount,Axial Base Deep Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",150,2604,-129.7590317,45.8297
RS03AXPS,Cabled Axial Seamount,Axial Base Shallow Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",5,2607,-129.753465,45.83053833
RS03AXSM,Cabled Axial Seamount,Summit Primary Infrastructure,"Primary Nodes are connected to the land-based shore station in Pacific City, Oregon via fiber-optic cables. These nodes convert high power from the shore station to a lower power and distribute that power and communication to junction boxes along the Juan de Fuca Plate through their science ports. Primary Nodes also receive data and communications from the junction boxes which they transmit back to shore.",,,-129.7540183,45.81680167
RS03CCAL,Cabled Axial Seamount,Central Caldera,"A Junction Box (JBox) rests on the seafloor and is connected to shore via a series of fiber optic cables. Several instruments can be attached to a single Jbox and Jboxes can be connected to each other. Jboxes draw energy from the cables to power instruments and to transmit data from the instruments back to shore. In this way, Jboxes act like both a power strip and a converter. The OOI employs three kinds of Jboxes: Low Voltage (LV) Node, Low-Power (LP) Jbox, and Medium Power (MP) JBox. LV Nodes convert high power from the primary node to a lower power that can then be distributed LP or MP Jboxes and cabled moorings. LV Nodes cannot directly connect to instruments. LP Jboxes directly connect to instruments and receive power from LV Nodes. LP Jboxes convert power from LV Nodes into the appropriate power for their associated instruments. The MP Jbox can draw power from either a primary node or a LV Node as well as connect directly to instruments and other Jboxes. The MP Jbox converts high power from the primary node to a lower, medium-level power that that can then be distributed to other nodes.",1526,1526,-130.0089067,45.95488167
RS03ECAL,Cabled Axial Seamount,Eastern Caldera,"A Junction Box (JBox) rests on the seafloor and is connected to shore via a series of fiber optic cables. Several instruments can be attached to a single Jbox and Jboxes can be connected to each other. Jboxes draw energy from the cables to power instruments and to transmit data from the instruments back to shore. In this way, Jboxes act like both a power strip and a converter. The OOI employs three kinds of Jboxes: Low Voltage (LV) Node, Low-Power (LP) Jbox, and Medium Power (MP) JBox. LV Nodes convert high power from the primary node to a lower power that can then be distributed LP or MP Jboxes and cabled moorings. LV Nodes cannot directly connect to instruments. LP Jboxes directly connect to instruments and receive power from LV Nodes. LP Jboxes convert power from LV Nodes into the appropriate power for their associated instruments. The MP Jbox can draw power from either a primary node or a LV Node as well as connect directly to instruments and other Jboxes. The MP Jbox converts high power from the primary node to a lower, medium-level power that that can then be distributed to other nodes.",1516,1516,-129.9741983,45.93985167
RS03INT1,Cabled Axial Seamount,International District Vent Field 1,"A Junction Box (JBox) rests on the seafloor and is connected to shore via a series of fiber optic cables. Several instruments can be attached to a single Jbox and Jboxes can be connected to each other. Jboxes draw energy from the cables to power instruments and to transmit data from the instruments back to shore. In this way, Jboxes act like both a power strip and a converter. The OOI employs three kinds of Jboxes: Low Voltage (LV) Node, Low-Power (LP) Jbox, and Medium Power (MP) JBox. LV Nodes convert high power from the primary node to a lower power that can then be distributed LP or MP Jboxes and cabled moorings. LV Nodes cannot directly connect to instruments. LP Jboxes directly connect to instruments and receive power from LV Nodes. LP Jboxes convert power from LV Nodes into the appropriate power for their associated instruments. The MP Jbox can draw power from either a primary node or a LV Node as well as connect directly to instruments and other Jboxes. The MP Jbox converts high power from the primary node to a lower, medium-level power that that can then be distributed to other nodes.",1520,1520,-129.978895,45.92630167
RS03INT2,Cabled Axial Seamount,International District Vent Field 2,"A Junction Box (JBox) rests on the seafloor and is connected to shore via a series of fiber optic cables. Several instruments can be attached to a single Jbox and Jboxes can be connected to each other. Jboxes draw energy from the cables to power instruments and to transmit data from the instruments back to shore. In this way, Jboxes act like both a power strip and a converter. The OOI employs three kinds of Jboxes: Low Voltage (LV) Node, Low-Power (LP) Jbox, and Medium Power (MP) JBox. LV Nodes convert high power from the primary node to a lower power that can then be distributed LP or MP Jboxes and cabled moorings. LV Nodes cannot directly connect to instruments. LP Jboxes directly connect to instruments and receive power from LV Nodes. LP Jboxes convert power from LV Nodes into the appropriate power for their associated instruments. The MP Jbox can draw power from either a primary node or a LV Node as well as connect directly to instruments and other Jboxes. The MP Jbox converts high power from the primary node to a lower, medium-level power that that can then be distributed to other nodes.",1527,1527,-129.9777567,45.925825
RS05MPPI,Cabled Juan de Fuca Mid-Plate,Primary Infrastructure,"Primary Nodes are connected to the land-based shore station in Pacific City, Oregon via fiber-optic cables. These nodes convert high power from the shore station to a lower power and distribute that power and communication to junction boxes along the Juan de Fuca Plate through their science ports. Primary Nodes also receive data and communications from the junction boxes which they transmit back to shore.",2820,2820,,
SSRSPACC,Cabled Oregon Shore Station,Pacific City,,0,0,,
