Array,CUID,CTD_CruiseName,CTD_CruiseLeg,CTDcast,CTD_Date,CTD_lat,CTD_lon,CTD_site_desc,Notes,filepath_primary,CTD_rawdata_filepath,O2_filepath,salt_filepath
Global_Argentine_Basin,NBP-15-10,GA2,,4,2015-11-15T00:28:00,-42.99283,-42.48233,GA02HYPM-00001,"salt, O2",/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-02_NBP-15-10_2015-11-07/Ship Data/,NBP1510/ctd/process/nbp1510_004.cnv,CTD bottle data/004OXY.xlsx,CTD bottle data/004.SAL
Global_Argentine_Basin,NBP-15-10,GA2,,5,2015-11-15T22:03:00,-42.9805,-42.542,GA02HYPM-00002,For bottom depth and calibration of GA02HYPM-00002,/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-02_NBP-15-10_2015-11-07/Ship Data/,NBP1510/ctd/process/nbp1510_005.cnv,no_samples,no_samples
Global_Argentine_Basin,NBP-15-10,GA2,,6,2015-11-16T21:32:00,-42.97267,-42.524,GA02HYPM-00002,"For calibration of GA02HYPM-00002; salt, O2",/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-02_NBP-15-10_2015-11-07/Ship Data/,NBP1510/ctd/process/nbp1510_006.cnv,CTD bottle data/006OXY.xlsx,CTD bottle data/006.SAL
Global_Argentine_Basin,NBP-15-10,GA2,,7,2015-11-18T03:45:00,-42.50567,-42.12233,GA03FLMB-00001,"O2, pH, DIC/TA, salt, nitrate, chlorophyll",/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-02_NBP-15-10_2015-11-07/Ship Data/,NBP1510/ctd/process/nbp1510_007.cnv,CTD bottle data/007OXY.xlsx,CTD bottle data/007.SAL
Global_Argentine_Basin,NBP-15-10,GA2,,8,2015-11-18T23:27:00,-42.49583,-42.162,GA03FLMB-00002,To verify seafloor depth at GA03FLMB-00002,/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-02_NBP-15-10_2015-11-07/Ship Data/,NBP1510/ctd/process/nbp1510_008.cnv,no_samples,no_samples
Global_Argentine_Basin,NBP-15-10,GA2,,9,2015-11-20T14:27:00,-42.9375,-42.4215,GA01SUMO-00001,"O2, pH, DIC/TA, salt, nitrate, chlorophyll",/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-02_NBP-15-10_2015-11-07/Ship Data/,NBP1510/ctd/process/nbp1510_009.cnv,CTD bottle data/009OXY.xlsx,CTD bottle data/009.SAL
Global_Argentine_Basin,NBP-15-10,GA2,,10,2015-11-20T22:53:00,-42.936,-42.56717,GA01SUMO-00002,"O2, pH, DIC/TA, salt, nitrate, chlorophyll",/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-02_NBP-15-10_2015-11-07/Ship Data/,NBP1510/ctd/process/nbp1510_010.cnv,CTD bottle data/010OXY.xlsx,CTD bottle data/010.SAL
Global_Argentine_Basin,NBP-15-10,GA2,,11,2015-11-20T22:53:00,-42.495,-42.922,GA03FLMA-00002,To verify seafloor depth at GA03FLMA-00002,/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-02_NBP-15-10_2015-11-07/Ship Data/,NBP1510/ctd/process/nbp1510_011.cnv,no_samples,no_samples
Global_Argentine_Basin,NBP-15-10,GA2,,12,2015-11-22T01:21:00,-42.48567,-42.15433,GA03FLMB-00002,"O2, pH, DIC/TA, salt, nitrate, chlorophyll",/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-02_NBP-15-10_2015-11-07/Ship Data/,NBP1510/ctd/process/nbp1510_012.cnv,CTD bottle data/012OXY.xlsx,CTD bottle data/012.SAL
Global_Argentine_Basin,NBP-15-10,GA2,,13,2015-11-24T00:03:00,-42.49317,-42.87,GA03FLMA-00001,"O2, pH, DIC/TA, salt, nitrate, chlorophyll",/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-02_NBP-15-10_2015-11-07/Ship Data/,NBP1510/ctd/process/nbp1510_013.cnv,CTD bottle data/013OXY.xlsx,CTD bottle data/013.SAL
Global_Argentine_Basin,NBP-15-10,GA2,,14,2015-11-24T19:32:00,-42.57267,-42.65933,Glider Deployment,"O2, salt, chlorophyll",/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-02_NBP-15-10_2015-11-07/Ship Data/,NBP1510/ctd/process/nbp1510_014.cnv,CTD bottle data/014OXY.xlsx,CTD bottle data/014.SAL
Global_Argentine_Basin,NBP-15-10,GA2,,15,2015-11-25T20:00:00,-42.49733,-42.90317,GA03FLMA-00002,"O2, pH, DIC/TA, salt, nitrate, chlorophyll",/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-02_NBP-15-10_2015-11-07/Ship Data/,NBP1510/ctd/process/nbp1510_015.cnv,CTD bottle data/015OXY.xlsx,CTD bottle data/015.SAL
Global_Argentine_Basin,NBP16-09,GA3,,1,2016-10-24T11:34:00,-47.0773,-52.6393,Transit,"CTD test cast to check rosette and test 3 single acoustic releases; water samples for salinity (S), dissolved oxygen (O2)",/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-03_NBP-16-09_2016-10-20/Ship Data/,missing,Water Sampling/Salts and O2/001OXY.xlsx,Water Sampling/Salts and O2/001SAL.xlsx
Global_Argentine_Basin,NBP16-09,GA3,,2,2016-10-27T09:07:00,-42.95517,-42.51472,GA02HYPM-00002,CTD cast in the vicinity of HYPM2 for profiler data comparison and testing of 3 single acoustic releases; water samples for S and O2,/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-03_NBP-16-09_2016-10-20/Ship Data/,missing,Water Sampling/Salts and O2/002OXY.xlsx,Water Sampling/Salts and O2/002SAL.xlsx
Global_Argentine_Basin,NBP16-09,GA3,,3,2016-10-29T23:49:00,-42.91643,-42.702,GA01SUMO-00002,"CTD cast in the vicinity of SUMO2 for comparison data and testing of 3 single acoustic releases; water samples for S, O2, pH, DIC/TA, nutrients (N) and chlorophyll (chl)",/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-03_NBP-16-09_2016-10-20/Ship Data/,missing,Water Sampling/Salts and O2/003OXY.xlsx,Water Sampling/Salts and O2/003SAL.xlsx
Global_Argentine_Basin,NBP16-09,GA3,,4,2016-10-31T08:07:00,-42.49597,-42.12257,GA03FLMB-00002,"CTD cast in the vicinity of FLMB2 for comparison data and testing of 3 single acoustic releases; water samples for S, O2, pH, DIC/TA, N, and chl",/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-03_NBP-16-09_2016-10-20/Ship Data/,missing,Water Sampling/Salts and O2/004OXY.xlsx,Water Sampling/Salts and O2/004SAL.xlsx
Global_Argentine_Basin,NBP16-09,GA3,,5,2016-11-01T21:47:00,-42.51223,-42.1243,GA03FLMB-00003,"CTD cast in the vicinity of FLMB3 for mooring data validation; water samples for S, O2, pH, DIC/TA, N, and chl",/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-03_NBP-16-09_2016-10-20/Ship Data/,missing,Water Sampling/Salts and O2/005OXY.xlsx,Water Sampling/Salts and O2/005SAL.xlsx
Global_Argentine_Basin,NBP16-09,GA3,,6,2016-11-06T00:48:00,-42.49622,-42.88133,GA03FLMA-00002; GA03FLMA-00003,"CTD cast in the vicinity of FLMA2 and FLMA3 for mooring data validation; water samples for S, O2, pH, DIC/TA, N, and chl",/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-03_NBP-16-09_2016-10-20/Ship Data/,missing,Water Sampling/Salts and O2/006OXY.xlsx,Water Sampling/Salts and O2/006SAL.xlsx
Global_Argentine_Basin,NBP16-09,GA3,,7,2016-11-09T08:22:00,-42.9417,-42.5187,GA01SUMO-00003,"CTD cast in the vicinity of SUMO3 and HYPM3 to validate mooring and profiler data; water samples for S, O2, pH, DIC/TA, nitrate, and chl",/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-03_NBP-16-09_2016-10-20/Ship Data/,missing,Water Sampling/Salts and O2/007OXY.xlsx,Water Sampling/Salts and O2/007SAL.xlsx
Global_Argentine_Basin,AT39-03,GA4,,1,2018-01-07T13:52:00,-38.95062,-49.00952,Transit,Testing CTD and Niskins. ,/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-04_AT-39-03_2018-01-05/Ship Data/,ctd/process/at3903001.cnv,no_samples,no_samples
Global_Argentine_Basin,AT39-03,GA4,,2,2018-01-08T23:09:00,-42.47673,-42.84963,GA03FLMA-00003,"ACOMMs to download latest mooring data. Sampling for O2, pH, DIC, salts, nitrate, and chlorophyll.",/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-04_AT-39-03_2018-01-05/Ship Data/,ctd/process/at3903002.cnv,missing,missing
Global_Argentine_Basin,AT39-03,GA4,,3,2018-01-10T04:11:00,-43.017,-42.48417,GA02HYPM-00003,Unsuccessful ACOMMs to download latest mooring data. Sampling for O2 and salts.,/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-04_AT-39-03_2018-01-05/Ship Data/,ctd/process/at3903003.cnv,missing,missing
Global_Argentine_Basin,AT39-03,GA4,,4,2018-01-10T20:18:00,-42.99689,-42.55265,GA02HYPM-00002,ACOMMs to download latest mooring data. No samples.,/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-04_AT-39-03_2018-01-05/Ship Data/,ctd/process/at3903004.cnv,no_samples,no_samples
Global_Argentine_Basin,AT39-03,GA4,,5,2018-01-12T01:53:00,-42.50618,-42.14437,GA03FLMB-00003,"Unsuccessful ACOMMs to download latest mooring data. Sampling for O2, pH, DIC, salts, nitrate, and chlorophyll.",/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-04_AT-39-03_2018-01-05/Ship Data/,ctd/process/at3903005.cnv,missing,missing
Global_Argentine_Basin,AT39-03,GA4,,6,2018-01-13T14:13:00,-42.97667,-42.55542,GA02HYPM-00002,ACOMMs to download mooring data. No samples. ,/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-04_AT-39-03_2018-01-05/Ship Data/,ctd/process/at3903006.cnv,no_samples,no_samples
Global_Argentine_Basin,AT39-03,GA4,,7,2018-01-13T19:57:00,-42.96608,-42.49362,GA01SUMO-00003,"ACOMMs to download data from HYPM-2. With samples for O2, pH, DIC, salts, nitrate, and chlorophyll.",/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-04_AT-39-03_2018-01-05/Ship Data/,ctd/process/at3903007.cnv,missing,missing
Global_Argentine_Basin,AT39-03,GA4,,8,2018-01-16T13:31:00,-42.49575,-42.88897,GA03FLMA-00003,Deep cast with salts samples for CTD calibration.,/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-04_AT-39-03_2018-01-05/Ship Data/,ctd/process/at3903008.cnv,missing,missing
Global_Irminger,KN-221-4,GI1,,1,2014-09-08T00:00:00,62.107,-31.38167,,Testing acoustic releases for mooring,/Volumes/webdav/OOI/Global Irminger Sea Array/Cruise Data/Irminger_Sea-01_KN-221_2014-09-07/Ship Data/,ctd/process/kkn22104001.cnv,no_samples,no_samples
Global_Irminger,KN-221-4,GI1,,2,2014-09-08T00:00:00,61.99533,-31.8725,,"Cal/Val for 24 CTMO's for HYPM, FLMA and FLMB. Tested two acoustic releases",/Volumes/webdav/OOI/Global Irminger Sea Array/Cruise Data/Irminger_Sea-01_KN-221_2014-09-07/Ship Data/,ctd/process/kkn22104002.cnv,Water Sampling/Bottle_Salts+Oxygens/002OXY.xlsx,Water Sampling/Bottle_Salts+Oxygens/002.SAL
Global_Irminger,KN-221-4,GI1,,3,2014-09-08T00:00:00,61.88617,-32.3055,,Cal/Val for four acoustic releases and 22 CTMO's for FLM(A/B),/Volumes/webdav/OOI/Global Irminger Sea Array/Cruise Data/Irminger_Sea-01_KN-221_2014-09-07/Ship Data/,ctd/process/kkn22104003.cnv,Water Sampling/Bottle_Salts+Oxygens/003OXY.xlsx,Water Sampling/Bottle_Salts+Oxygens/003.SAL
Global_Irminger,KN-221-4,GI1,,4,2014-09-08T00:00:00,61.6575,-33.07667,,Cal/Val for two top cages for flanking moorings,/Volumes/webdav/OOI/Global Irminger Sea Array/Cruise Data/Irminger_Sea-01_KN-221_2014-09-07/Ship Data/,ctd/process/kkn22104004.cnv,Water Sampling/Bottle_Salts+Oxygens/004OXY.xlsx,Water Sampling/Bottle_Salts+Oxygens/004.SAL
Global_Irminger,KN-221-4,GI1,,5,2014-09-11T00:00:00,59.92417,-39.50933,GI01SUMO-00001,CTD Cast at mooring site GI01SUMO,/Volumes/webdav/OOI/Global Irminger Sea Array/Cruise Data/Irminger_Sea-01_KN-221_2014-09-07/Ship Data/,ctd/process/kkn22104005.cnv,Water Sampling/Bottle_Salts+Oxygens/005OXY.xlsx,Water Sampling/Bottle_Salts+Oxygens/005.SAL
Global_Irminger,KN-221-4,GI1,,6,2014-09-12T00:00:00,59.96617,-39.47067,,"Four releases attached for testing, Calibrating HYPM",/Volumes/webdav/OOI/Global Irminger Sea Array/Cruise Data/Irminger_Sea-01_KN-221_2014-09-07/Ship Data/,ctd/process/kkn22104006.cnv,Water Sampling/Bottle_Salts+Oxygens/006OXY.xlsx,Water Sampling/Bottle_Salts+Oxygens/006.SAL
Global_Irminger,KN-221-4,GI1,,7,2014-09-15T00:00:00,59.91883,-39.42883,GI01SUMO-00001,Surface Mooring GI01SUMO,/Volumes/webdav/OOI/Global Irminger Sea Array/Cruise Data/Irminger_Sea-01_KN-221_2014-09-07/Ship Data/,ctd/process/kkn22104007.cnv,Water Sampling/Bottle_Salts+Oxygens/007OXY.xlsx,Water Sampling/Bottle_Salts+Oxygens/007.SAL
Global_Irminger,KN-221-4,GI1,,8,2014-09-16T00:00:00,59.2365,-39.50217,,Deep cast at NIOZ LOCO2,/Volumes/webdav/OOI/Global Irminger Sea Array/Cruise Data/Irminger_Sea-01_KN-221_2014-09-07/Ship Data/,ctd/process/kkn22104008.cnv,no_samples,no_samples
Global_Irminger,KN-221-4,GI1,,9,2014-09-17T00:00:00,59.77117,-39.64117,Gliders,Sync with Gliders,/Volumes/webdav/OOI/Global Irminger Sea Array/Cruise Data/Irminger_Sea-01_KN-221_2014-09-07/Ship Data/,ctd/process/kkn22104009.cnv,Water Sampling/Bottle_Salts+Oxygens/009OXY.xlsx,Water Sampling/Bottle_Salts+Oxygens/009.SAL
Global_Irminger,AT-30-01,GI2,,1,2015-08-07T00:00:00,42.54483,-62.5835,Transit,Testing acoustic releases; No samples,/Volumes/webdav/OOI/Global Irminger Sea Array/Cruise Data/Irminger_Sea-02_AT-30-01_2015-08-05/Ship Data/,missing,no_samples,no_samples
Global_Irminger,AT-30-01,GI2,,2,2015-08-07T00:00:00,42.53333,-62.579,Transit,Testing acoustic releases; No samples,/Volumes/webdav/OOI/Global Irminger Sea Array/Cruise Data/Irminger_Sea-02_AT-30-01_2015-08-05/Ship Data/,missing,no_samples,no_samples
Global_Irminger,AT-30-01,GI2,,3,2015-08-07T00:00:00,42.52083,-62.5785,Transit,"Testing acoustic releases; Salt, O2",/Volumes/webdav/OOI/Global Irminger Sea Array/Cruise Data/Irminger_Sea-02_AT-30-01_2015-08-05/Ship Data/,missing,Water Sampling/Salts and O2/003OXY.xlsx,Water Sampling/Salts and O2/003.SAL
Global_Irminger,AT-30-01,GI2,,4,2015-08-14T14:13:00,59.95483,-39.424,GI01SUMO-00001,"Salt, O2, pH, DIC/TA, Nutrient, Chl",/Volumes/webdav/OOI/Global Irminger Sea Array/Cruise Data/Irminger_Sea-02_AT-30-01_2015-08-05/Ship Data/,ctd/process/at30_004.cnv,Water Sampling/Salts and O2/004OXY.xlsx,Water Sampling/Salts and O2/004.SAL
Global_Irminger,AT-30-01,GI2,,5,2015-08-14T19:39:00,59.98835,-39.45993,GI02HYPM-00001,"Salt, O2",/Volumes/webdav/OOI/Global Irminger Sea Array/Cruise Data/Irminger_Sea-02_AT-30-01_2015-08-05/Ship Data/,ctd/process/at30_005.cnv,Water Sampling/Salts and O2/005OXY.xlsx,Water Sampling/Salts and O2/005.SAL
Global_Irminger,AT-30-01,GI2,,6,2015-08-17T17:01:00,59.85082,-39.09508,Glider Deployment,"Salt, O2, Nutrient, Chl",/Volumes/webdav/OOI/Global Irminger Sea Array/Cruise Data/Irminger_Sea-02_AT-30-01_2015-08-05/Ship Data/,ctd/process/at30_006.cnv,Ship Data/Water Sampling/Salts and O2/006OXY.xlsx,Water Sampling/Salts and O2/006.SAL
Global_Irminger,AT-30-01,GI2,,7,2015-08-17T00:00:00,59.77153,-39.88192,GI03FLMA-00002,Confirming water depth; No samples,/Volumes/webdav/OOI/Global Irminger Sea Array/Cruise Data/Irminger_Sea-02_AT-30-01_2015-08-05/Ship Data/,ctd/process/at30_007.cnv,no_samples,no_samples
Global_Irminger,AT-30-01,GI2,,8,2015-08-19T00:00:00,59.71903,-39.35707,GI03FLMB-00002,Confirming water depth; No samples,/Volumes/webdav/OOI/Global Irminger Sea Array/Cruise Data/Irminger_Sea-02_AT-30-01_2015-08-05/Ship Data/,ctd/process/at30_008.cnv,no_samples,no_samples
Global_Irminger,AT-30-01,GI2,,9,2015-08-19T15:07:00,59.70658,-39.33215,GI03FLMB-00001,"Salt, O2; pH, DIC/TA, Chl (top only)",/Volumes/webdav/OOI/Global Irminger Sea Array/Cruise Data/Irminger_Sea-02_AT-30-01_2015-08-05/Ship Data/,ctd/process/at30_009.cnv,Water Sampling/Salts and O2/009OXY.xlsx,Water Sampling/Salts and O2/009.SAL
Global_Irminger,AT-30-01,GI2,,10,2015-08-19T22:08:00,59.76183,-39.86367,GI03FLMA-00002,"Salt, O2; pH, DIC/TA, Chl (top only)",/Volumes/webdav/OOI/Global Irminger Sea Array/Cruise Data/Irminger_Sea-02_AT-30-01_2015-08-05/Ship Data/,ctd/process/at30_010.cnv,Water Sampling/Salts and O2/010OXY.xlsx,Water Sampling/Salts and O2/010.SAL
Global_Irminger,AT-30-01,GI2,,11,2015-08-21T19:14:00,59.68652,-39.36557,GI03FLMB-00002,"Salt, O2; pH, DIC/TA, Chl (top only)",/Volumes/webdav/OOI/Global Irminger Sea Array/Cruise Data/Irminger_Sea-02_AT-30-01_2015-08-05/Ship Data/,ctd/process/at30_011.cnv,Water Sampling/Salts and O2/011OXY.xlsx,Water Sampling/Salts and O2/011.SAL
Global_Irminger,AT-30-01,GI2,,12,2015-08-23T17:45:00,59.99967,-39.48267,GI02HYPM-00002,"Salt, O2",/Volumes/webdav/OOI/Global Irminger Sea Array/Cruise Data/Irminger_Sea-02_AT-30-01_2015-08-05/Ship Data/,ctd/process/at30_012.cnv,Water Sampling/Salts and O2/012OXY.xlsx,Water Sampling/Salts and O2/012.SAL
Global_Irminger,AT-30-01,GI2,,13,2015-08-23T21:21:00,59.898,-39.57232,GI01SUMO-00002,"Salt, O2, pH, DIC/TA, Nutrient, Chl",/Volumes/webdav/OOI/Global Irminger Sea Array/Cruise Data/Irminger_Sea-02_AT-30-01_2015-08-05/Ship Data/,ctd/process/at30_013.cnv,Water Sampling/Salts and O2/013OXY.xlsx,Water Sampling/Salts and O2/013.SAL
Global_Irminger,AR-07-01,GI3,,1,2016-07-01T19:05:00,40.22952,-70.89522,PMCI-00006,"Pioneer platform deployed en route to GI. Salt, O2, pH, DIC/TA, Nutrient, Chl",/Volumes/webdav/OOI/Global Irminger Sea Array/Cruise Data/Irminger_Sea-03_AR-07-01_2016-06-30/Ship Data/,ctd/process/ar0701001.cnv,Water Sampling/Salts and O2/001OXY.xlsx,Water Sampling/Salts and O2/001SAL.xlsx
Global_Irminger,AR-07-01,GI3,,2,2016-07-06T11:25:00,,,,Release Test,/Volumes/webdav/OOI/Global Irminger Sea Array/Cruise Data/Irminger_Sea-03_AR-07-01_2016-06-30/Ship Data/,ctd/process/ar0701002.cnv,no_samples,no_samples
Global_Irminger,AR-07-01,GI3,,3,2016-07-06T14:07:00,,,,Release Test,/Volumes/webdav/OOI/Global Irminger Sea Array/Cruise Data/Irminger_Sea-03_AR-07-01_2016-06-30/Ship Data/,ctd/process/ar0701003.cnv,no_samples,no_samples
Global_Irminger,AR-07-01,GI3,,4,2016-07-06T16:58:00,,,,Release Test,/Volumes/webdav/OOI/Global Irminger Sea Array/Cruise Data/Irminger_Sea-03_AR-07-01_2016-06-30/Ship Data/,ctd/process/ar0701004.cnv,no_samples,no_samples
Global_Irminger,AR-07-01,GI3,,5,2016-07-09T12:11:00,59.86363,-39.12447,Glider Deployment,"Salt, O2, Nutrient, Chl",/Volumes/webdav/OOI/Global Irminger Sea Array/Cruise Data/Irminger_Sea-03_AR-07-01_2016-06-30/Ship Data/,ctd/process/ar0701005.cnv,Water Sampling/Salts and O2/005OXY.xlsx,Water Sampling/Salts and O2/005SAL.xlsx
Global_Irminger,AR-07-01,GI3,,6,2016-07-10T19:51:00,59.93318,-39.4508,GI01SUMO-00003,"Salt, O2, pH, DIC/TA, Nutrient, Chl",/Volumes/webdav/OOI/Global Irminger Sea Array/Cruise Data/Irminger_Sea-03_AR-07-01_2016-06-30/Ship Data/,ctd/process/ar0701006.cnv,Water Sampling/Salts and O2/006OXY.xlsx,Water Sampling/Salts and O2/006SAL.xlsx
Global_Irminger,AR-07-01,GI3,,7,2016-07-11T19:29:00,59.97213,-39.5054,GI02HYPM,"Salt, O2",/Volumes/webdav/OOI/Global Irminger Sea Array/Cruise Data/Irminger_Sea-03_AR-07-01_2016-06-30/Ship Data/,ctd/process/ar0701007.cnv,Water Sampling/Salts and O2/007OXY.xlsx,Water Sampling/Salts and O2/007SAL.xlsx
Global_Irminger,AR-07-01,GI3,,8,2016-07-12T19:27:00,59.7695,-39.85868,GI03FLMA,"Salt, O2, pH, DIC/TA, Nutrient, Chl",/Volumes/webdav/OOI/Global Irminger Sea Array/Cruise Data/Irminger_Sea-03_AR-07-01_2016-06-30/Ship Data/,ctd/process/ar0701008.cnv,Water Sampling/Salts and O2/008OXY.xlsx,Water Sampling/Salts and O2/008SAL.xlsx
Global_Irminger,AR-07-01,GI3,,9,2016-07-13T16:23:00,59.71687,-39.336,GI03FLMB,"Salt, O2, pH, DIC/TA, Nutrient, Chl",/Volumes/webdav/OOI/Global Irminger Sea Array/Cruise Data/Irminger_Sea-03_AR-07-01_2016-06-30/Ship Data/,ctd/process/ar0701009.cnv,Water Sampling/Salts and O2/009OXY.xlsx,Water Sampling/Salts and O2/009SAL.xlsx
Global_Irminger,AR-07-01,GI3,,10,2016-07-16T20:10:00,59.92853,-39.62125,GI01SUMO-00002,"Salt, O2, pH, DIC/TA, Nutrient, Chl",/Volumes/webdav/OOI/Global Irminger Sea Array/Cruise Data/Irminger_Sea-03_AR-07-01_2016-06-30/Ship Data/,ctd/process/ar0701010.cnv,Water Sampling/Salts and O2/010OXY.xlsx,Water Sampling/Salts and O2/010SAL.xlsx
Global_Irminger,AR21,GI4,,1,2017-08-02T11:20:00,50.78583,-47.29867,,Release Test,/Volumes/webdav/OOI/Global Irminger Sea Array/Cruise Data/Irminger_Sea-04_AR21_2017-07-28/Ship Data/,ctd/process/ar21_001.cnv,no_samples,no_samples
