reference_designator,name,description,end_depth,longitude,latitude
CE05MOAS-GL,Mobile Coastal Gliders,"Gliders are buoyancy-driven mobile assets. They change their buoyancy by drawing in water through their nose making their front end heavy causing them to sink through the water. To float back up to the surface, they push the water out. Their wings provide lift allowing the gliders to move forward as they change depth. Due to their efficient design, with no need for propellors or an engine, gliders can be deployed for several months at a time.",,,
CE06ISSM,WA Inshore Low-Power Surface Mooring,"A Surface Mooring is a type of mooring that contains a surface buoy floating on the sea surface and instruments located at fixed depths through the water column. The surface buoy provides a platform on which to secure surface instruments, allowing for the collection of data in the air and in the water, as well as an antenna to transmit data to shore via satellite.",,,
CE06ISSP,WA Inshore Surface-Piercing Profiler Mooring,"A Surface-Piercing Profiler Mooring is a mooring that contains a surface-piercing profiler. The surface-piercing profiler allows for the sampling of near surface phenomena as the profiler travels through the water then breaches the surface. While on the surface, the profiler is able to transmit data to shore.",,,
CE07SHSM,WA Shelf High-Power Surface Mooring,"A Surface Mooring is a type of mooring that contains a surface buoy floating on the sea surface and instruments located at fixed depths through the water column. The surface buoy provides a platform on which to secure surface instruments, allowing for the collection of data in the air and in the water, as well as an antenna to transmit data to shore via satellite.",,,
CE07SHSP,WA Shelf Surface-Piercing Profiler Mooring,"A Surface-Piercing Profiler Mooring is a mooring that contains a surface-piercing profiler. The surface-piercing profiler allows for the sampling of near surface phenomena as the profiler travels through the water then breaches the surface. While on the surface, the profiler is able to transmit data to shore.",,,
CE09OSPM,WA Offshore Coastal Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",,,
CE09OSSM,WA Offshore High-Power Surface Mooring,"A Surface Mooring is a type of mooring that contains a surface buoy floating on the sea surface and instruments located at fixed depths through the water column. The surface buoy provides a platform on which to secure surface instruments, allowing for the collection of data in the air and in the water, as well as an antenna to transmit data to shore via satellite.",,,
CP01CNSM,Central High-Power Surface Mooring,"A Surface Mooring is a type of mooring that contains a surface buoy floating on the sea surface and instruments located at fixed depths through the water column. The surface buoy provides a platform on which to secure surface instruments, allowing for the collection of data in the air and in the water, as well as an antenna to transmit data to shore via satellite.",,,
CP01CNSP,Central Surface-Piercing Profiler Mooring,"A Surface-Piercing Profiler Mooring is a mooring that contains a surface-piercing profiler. The surface-piercing profiler allows for the sampling of near surface phenomena as the profiler travels through the water then breaches the surface. While on the surface, the profiler is able to transmit data to shore.",,,
CP02PMCI,Central Inshore Coastal Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",,,
CP02PMCO,Central Offshore Coastal Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",,,
CP02PMUI,Upstream Inshore Coastal Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",,,
CP02PMUO,Upstream Offshore Coastal Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",,,
CP03ISSM,Inshore High-Power Surface Mooring,"A Surface Mooring is a type of mooring that contains a surface buoy floating on the sea surface and instruments located at fixed depths through the water column. The surface buoy provides a platform on which to secure surface instruments, allowing for the collection of data in the air and in the water, as well as an antenna to transmit data to shore via satellite.",,,
CP03ISSP,Inshore Surface-Piercing Profiler Mooring,"A Surface-Piercing Profiler Mooring is a mooring that contains a surface-piercing profiler. The surface-piercing profiler allows for the sampling of near surface phenomena as the profiler travels through the water then breaches the surface. While on the surface, the profiler is able to transmit data to shore.",,,
CP04OSPM,Offshore Coastal Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",,,
CP04OSSM,Offshore High-Power Surface Mooring,"A Surface Mooring is a type of mooring that contains a surface buoy floating on the sea surface and instruments located at fixed depths through the water column. The surface buoy provides a platform on which to secure surface instruments, allowing for the collection of data in the air and in the water, as well as an antenna to transmit data to shore via satellite.",,,
CP05MOAS-AV,Mobile AUVs,"Autonomous Underwater Vehicles (AUVs) are propellor-driven mobile assets. The underwater flight pattern of the AUV can be controlled from shore, making these robots well suited for sampling rapidly changing conditions as their flight pattern can be controlled from shore. Seafloor-mounted docking stations allow AUVs to be deployed for extended time periods.",,,
CP05MOAS-GL,Mobile Coastal Gliders,"Gliders are buoyancy-driven mobile assets. They change their buoyancy by drawing in water through their nose making their front end heavy causing them to sink through the water. To float back up to the surface, they push the water out. Their wings provide lift allowing the gliders to move forward as they change depth. Due to their efficient design, with no need for propellors or an engine, gliders can be deployed for several months at a time.",,,
GA01SUMO,Apex Global Surface Mooring,"A Surface Mooring is a type of mooring that contains a surface buoy floating on the sea surface and instruments located at fixed depths through the water column. The surface buoy provides a platform on which to secure surface instruments, allowing for the collection of data in the air and in the water, as well as an antenna to transmit data to shore via satellite.",,,
GA02HYPM,Apex Global Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",,,
GA03FLMA,Flanking Subsurface Mooring A,"Flanking Subsurface Moorings are located at global sites and contain instruments fixed at specific depths along the mooring riser. The flotation buoy for subsurface moorings is located below the sea surface. As they have no surface expression, these moorings communicate and send data to shore via an acoustic link to nearby gliders.",,,
GA03FLMB,Flanking Subsurface Mooring B,"Flanking Subsurface Moorings are located at global sites and contain instruments fixed at specific depths along the mooring riser. The flotation buoy for subsurface moorings is located below the sea surface. As they have no surface expression, these moorings communicate and send data to shore via an acoustic link to nearby gliders.",,,
GA05MOAS-GL,Mobile Open-Ocean Gliders,"Gliders are buoyancy-driven mobile assets. They change their buoyancy by drawing in water through their nose making their front end heavy causing them to sink through the water. To float back up to the surface, they push the water out. Their wings provide lift allowing the gliders to move forward as they change depth. Due to their efficient design, with no need for propellors or an engine, gliders can be deployed for several months at a time.",,,
GA05MOAS-PG,Mobile Global Profiling Gliders,"Gliders are buoyancy-driven mobile assets. They change their buoyancy by drawing in water through their nose making their front end heavy causing them to sink through the water. To float back up to the surface, they push the water out. Their wings provide lift allowing the gliders to move forward as they change depth. Due to their efficient design, with no need for propellors or an engine, gliders can be deployed for several months at a time.",,,
GI01SUMO,Apex Global Surface Mooring,"A Surface Mooring is a type of mooring that contains a surface buoy floating on the sea surface and instruments located at fixed depths through the water column. The surface buoy provides a platform on which to secure surface instruments, allowing for the collection of data in the air and in the water, as well as an antenna to transmit data to shore via satellite.",,,
GI02HYPM,Apex Global Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",,,
GI03FLMA,Flanking Subsurface Mooring A,"Flanking Subsurface Moorings are located at global sites and contain instruments fixed at specific depths along the mooring riser. The flotation buoy for subsurface moorings is located below the sea surface. As they have no surface expression, these moorings communicate and send data to shore via an acoustic link to nearby gliders.",,,
GI03FLMB,Flanking Subsurface Mooring B,"Flanking Subsurface Moorings are located at global sites and contain instruments fixed at specific depths along the mooring riser. The flotation buoy for subsurface moorings is located below the sea surface. As they have no surface expression, these moorings communicate and send data to shore via an acoustic link to nearby gliders.",,,
GI05MOAS-GL,Mobile Open-Ocean Gliders,"Gliders are buoyancy-driven mobile assets. They change their buoyancy by drawing in water through their nose making their front end heavy causing them to sink through the water. To float back up to the surface, they push the water out. Their wings provide lift allowing the gliders to move forward as they change depth. Due to their efficient design, with no need for propellors or an engine, gliders can be deployed for several months at a time.",,,
GI05MOAS-PG,Mobile Global Profiling Gliders,"Gliders are buoyancy-driven mobile assets. They change their buoyancy by drawing in water through their nose making their front end heavy causing them to sink through the water. To float back up to the surface, they push the water out. Their wings provide lift allowing the gliders to move forward as they change depth. Due to their efficient design, with no need for propellors or an engine, gliders can be deployed for several months at a time.",,,
GP02HYPM,Apex Global Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",,,
GP03FLMA,Flanking Subsurface Mooring A,"Flanking Subsurface Moorings are located at global sites and contain instruments fixed at specific depths along the mooring riser. The flotation buoy for subsurface moorings is located below the sea surface. As they have no surface expression, these moorings communicate and send data to shore via an acoustic link to nearby gliders.",,,
GP03FLMB,Flanking Subsurface Mooring B,"Flanking Subsurface Moorings are located at global sites and contain instruments fixed at specific depths along the mooring riser. The flotation buoy for subsurface moorings is located below the sea surface. As they have no surface expression, these moorings communicate and send data to shore via an acoustic link to nearby gliders.",,,
GP05MOAS-GL,Mobile Open-Ocean Gliders,"Gliders are buoyancy-driven mobile assets. They change their buoyancy by drawing in water through their nose making their front end heavy causing them to sink through the water. To float back up to the surface, they push the water out. Their wings provide lift allowing the gliders to move forward as they change depth. Due to their efficient design, with no need for propellors or an engine, gliders can be deployed for several months at a time.",,,
GP05MOAS-PG,Mobile Global Profiling Gliders,"Gliders are buoyancy-driven mobile assets. They change their buoyancy by drawing in water through their nose making their front end heavy causing them to sink through the water. To float back up to the surface, they push the water out. Their wings provide lift allowing the gliders to move forward as they change depth. Due to their efficient design, with no need for propellors or an engine, gliders can be deployed for several months at a time.",,,
GS01SUMO,Apex Global Surface Mooring,"A Surface Mooring is a type of mooring that contains a surface buoy floating on the sea surface and instruments located at fixed depths through the water column. The surface buoy provides a platform on which to secure surface instruments, allowing for the collection of data in the air and in the water, as well as an antenna to transmit data to shore via satellite.",,,
GS02HYPM,Apex Global Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",,,
GS03FLMA,Flanking Subsurface Mooring A,"Flanking Subsurface Moorings are located at global sites and contain instruments fixed at specific depths along the mooring riser. The flotation buoy for subsurface moorings is located below the sea surface. As they have no surface expression, these moorings communicate and send data to shore via an acoustic link to nearby gliders.",,,
GS03FLMB,Flanking Subsurface Mooring B,"Flanking Subsurface Moorings are located at global sites and contain instruments fixed at specific depths along the mooring riser. The flotation buoy for subsurface moorings is located below the sea surface. As they have no surface expression, these moorings communicate and send data to shore via an acoustic link to nearby gliders.",,,
GS05MOAS-GL,Mobile Open-Ocean Gliders,"Gliders are buoyancy-driven mobile assets. They change their buoyancy by drawing in water through their nose making their front end heavy causing them to sink through the water. To float back up to the surface, they push the water out. Their wings provide lift allowing the gliders to move forward as they change depth. Due to their efficient design, with no need for propellors or an engine, gliders can be deployed for several months at a time.",,,
GS05MOAS-PG,Mobile Global Profiling Gliders,"Gliders are buoyancy-driven mobile assets. They change their buoyancy by drawing in water through their nose making their front end heavy causing them to sink through the water. To float back up to the surface, they push the water out. Their wings provide lift allowing the gliders to move forward as they change depth. Due to their efficient design, with no need for propellors or an engine, gliders can be deployed for several months at a time.",,,
RS01HSPI,Continental Margin Slope Base Cabled Primary Node,"Primary Nodes are connected to the land-based shore station in Pacific City, Oregon via fiber-optic cables. These nodes convert high power from the shore station to a lower power and distribute that power and communication to junction boxes along the Juan de Fuca Plate through their science ports. Primary Nodes also receive data and communications from the junction boxes which they transmit back to shore.",,,
RS01SBPD,Continental Margin Slope Base Cabled Deep Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",2893,-125.3806467,44.527435
RS01SBPS,Continental Margin Slope Base Cabled Shallow Profiler Mooring ,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",193,-125.389285,44.52898167
RS01SLBS,Continental Margin Slope Base Cabled Junction Box,"A Junction Box (JBox) rests on the seafloor and is connected to shore via a series of fiber optic cables. Several instruments can be attached to a single Jbox and Jboxes can be connected to each other. Jboxes draw energy from the cables to power instruments and to transmit data from the instruments back to shore. In this way, Jboxes act like both a power strip and a converter. The OOI employs three kinds of Jboxes: Low Voltage (LV) Node, Low-Power (LP) Jbox, and Medium Power (MP) JBox. LV Nodes convert high power from the primary node to a lower power that can then be distributed LP or MP Jboxes and cabled moorings. LV Nodes cannot directly connect to instruments. LP Jboxes directly connect to instruments and receive power from LV Nodes. LP Jboxes convert power from LV Nodes into the appropriate power for their associated instruments. The MP Jbox can draw power from either a primary node or a LV Node as well as connect directly to instruments and other Jboxes. The MP Jbox converts high power from the primary node to a lower, medium-level power that that can then be distributed to other nodes.",2901,-125.3898483,44.51530333
RS01SUM1,Continental Margin Southern Hydrate Ridge Summit 1 Cabled Junction Box,"A Junction Box (JBox) rests on the seafloor and is connected to shore via a series of fiber optic cables. Several instruments can be attached to a single Jbox and Jboxes can be connected to each other. Jboxes draw energy from the cables to power instruments and to transmit data from the instruments back to shore. In this way, Jboxes act like both a power strip and a converter. The OOI employs three kinds of Jboxes: Low Voltage (LV) Node, Low-Power (LP) Jbox, and Medium Power (MP) JBox. LV Nodes convert high power from the primary node to a lower power that can then be distributed LP or MP Jboxes and cabled moorings. LV Nodes cannot directly connect to instruments. LP Jboxes directly connect to instruments and receive power from LV Nodes. LP Jboxes convert power from LV Nodes into the appropriate power for their associated instruments. The MP Jbox can draw power from either a primary node or a LV Node as well as connect directly to instruments and other Jboxes. The MP Jbox converts high power from the primary node to a lower, medium-level power that that can then be distributed to other nodes.",775,-125.1480683,44.56914833
RS01SUM2,Continental Margin Southern Hydrate Ridge Summit 2 Cabled Junction Box,"A Junction Box (JBox) rests on the seafloor and is connected to shore via a series of fiber optic cables. Several instruments can be attached to a single Jbox and Jboxes can be connected to each other. Jboxes draw energy from the cables to power instruments and to transmit data from the instruments back to shore. In this way, Jboxes act like both a power strip and a converter. The OOI employs three kinds of Jboxes: Low Voltage (LV) Node, Low-Power (LP) Jbox, and Medium Power (MP) JBox. LV Nodes convert high power from the primary node to a lower power that can then be distributed LP or MP Jboxes and cabled moorings. LV Nodes cannot directly connect to instruments. LP Jboxes directly connect to instruments and receive power from LV Nodes. LP Jboxes convert power from LV Nodes into the appropriate power for their associated instruments. The MP Jbox can draw power from either a primary node or a LV Node as well as connect directly to instruments and other Jboxes. The MP Jbox converts high power from the primary node to a lower, medium-level power that that can then be distributed to other nodes.",772,-125.1468317,44.56985667
RS02HRPI,Continental Margin Hydrate Ridge Cabled Primary Node,"Primary Nodes are connected to the land-based shore station in Pacific City, Oregon via fiber-optic cables. These nodes convert high power from the shore station to a lower power and distribute that power and communication to junction boxes along the Juan de Fuca Plate through their science ports. Primary Nodes also receive data and communications from the junction boxes which they transmit back to shore.",774,-125.1481033,44.56916
RS03ABPI,Axial Seamount Axial Base Cabled Primary Node,"Primary Nodes are connected to the land-based shore station in Pacific City, Oregon via fiber-optic cables. These nodes convert high power from the shore station to a lower power and distribute that power and communication to junction boxes along the Juan de Fuca Plate through their science ports. Primary Nodes also receive data and communications from the junction boxes which they transmit back to shore.",2606,-129.7540183,45.81680167
RS03ASHS,Axial Seamount ASHES Cabled Junction Box,"A Junction Box (JBox) rests on the seafloor and is connected to shore via a series of fiber optic cables. Several instruments can be attached to a single Jbox and Jboxes can be connected to each other. Jboxes draw energy from the cables to power instruments and to transmit data from the instruments back to shore. In this way, Jboxes act like both a power strip and a converter. The OOI employs three kinds of Jboxes: Low Voltage (LV) Node, Low-Power (LP) Jbox, and Medium Power (MP) JBox. LV Nodes convert high power from the primary node to a lower power that can then be distributed LP or MP Jboxes and cabled moorings. LV Nodes cannot directly connect to instruments. LP Jboxes directly connect to instruments and receive power from LV Nodes. LP Jboxes convert power from LV Nodes into the appropriate power for their associated instruments. The MP Jbox can draw power from either a primary node or a LV Node as well as connect directly to instruments and other Jboxes. The MP Jbox converts high power from the primary node to a lower, medium-level power that that can then be distributed to other nodes.",1540,-130.013925,45.93374167
RS03AXBS,Axial Seamount Axial Base Cabled Junction Box,"A Junction Box (JBox) rests on the seafloor and is connected to shore via a series of fiber optic cables. Several instruments can be attached to a single Jbox and Jboxes can be connected to each other. Jboxes draw energy from the cables to power instruments and to transmit data from the instruments back to shore. In this way, Jboxes act like both a power strip and a converter. The OOI employs three kinds of Jboxes: Low Voltage (LV) Node, Low-Power (LP) Jbox, and Medium Power (MP) JBox. LV Nodes convert high power from the primary node to a lower power that can then be distributed LP or MP Jboxes and cabled moorings. LV Nodes cannot directly connect to instruments. LP Jboxes directly connect to instruments and receive power from LV Nodes. LP Jboxes convert power from LV Nodes into the appropriate power for their associated instruments. The MP Jbox can draw power from either a primary node or a LV Node as well as connect directly to instruments and other Jboxes. The MP Jbox converts high power from the primary node to a lower, medium-level power that that can then be distributed to other nodes.",2606,-129.7542683,45.81682
RS03AXPD,Axial Seamount Axial Base Cabled Deep Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",2604,-129.7590317,45.8297
RS03AXPS,Axial Seamount Axial Base Cabled Shallow Profiler Mooring ,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",190,-129.753465,45.83053833
RS03CCAL,Axial Seamount Central Caldera Cabled Junction Box,"A Junction Box (JBox) rests on the seafloor and is connected to shore via a series of fiber optic cables. Several instruments can be attached to a single Jbox and Jboxes can be connected to each other. Jboxes draw energy from the cables to power instruments and to transmit data from the instruments back to shore. In this way, Jboxes act like both a power strip and a converter. The OOI employs three kinds of Jboxes: Low Voltage (LV) Node, Low-Power (LP) Jbox, and Medium Power (MP) JBox. LV Nodes convert high power from the primary node to a lower power that can then be distributed LP or MP Jboxes and cabled moorings. LV Nodes cannot directly connect to instruments. LP Jboxes directly connect to instruments and receive power from LV Nodes. LP Jboxes convert power from LV Nodes into the appropriate power for their associated instruments. The MP Jbox can draw power from either a primary node or a LV Node as well as connect directly to instruments and other Jboxes. The MP Jbox converts high power from the primary node to a lower, medium-level power that that can then be distributed to other nodes.",1523,-130.0089067,45.95488167
RS03ECAL,Axial Seamount Eastern Caldera Cabled Junction Box,"A Junction Box (JBox) rests on the seafloor and is connected to shore via a series of fiber optic cables. Several instruments can be attached to a single Jbox and Jboxes can be connected to each other. Jboxes draw energy from the cables to power instruments and to transmit data from the instruments back to shore. In this way, Jboxes act like both a power strip and a converter. The OOI employs three kinds of Jboxes: Low Voltage (LV) Node, Low-Power (LP) Jbox, and Medium Power (MP) JBox. LV Nodes convert high power from the primary node to a lower power that can then be distributed LP or MP Jboxes and cabled moorings. LV Nodes cannot directly connect to instruments. LP Jboxes directly connect to instruments and receive power from LV Nodes. LP Jboxes convert power from LV Nodes into the appropriate power for their associated instruments. The MP Jbox can draw power from either a primary node or a LV Node as well as connect directly to instruments and other Jboxes. The MP Jbox converts high power from the primary node to a lower, medium-level power that that can then be distributed to other nodes.",1519,-129.9741983,45.93985167
RS03INT1,Axial Seamount International District 1 Cabled Junction Box,"A Junction Box (JBox) rests on the seafloor and is connected to shore via a series of fiber optic cables. Several instruments can be attached to a single Jbox and Jboxes can be connected to each other. Jboxes draw energy from the cables to power instruments and to transmit data from the instruments back to shore. In this way, Jboxes act like both a power strip and a converter. The OOI employs three kinds of Jboxes: Low Voltage (LV) Node, Low-Power (LP) Jbox, and Medium Power (MP) JBox. LV Nodes convert high power from the primary node to a lower power that can then be distributed LP or MP Jboxes and cabled moorings. LV Nodes cannot directly connect to instruments. LP Jboxes directly connect to instruments and receive power from LV Nodes. LP Jboxes convert power from LV Nodes into the appropriate power for their associated instruments. The MP Jbox can draw power from either a primary node or a LV Node as well as connect directly to instruments and other Jboxes. The MP Jbox converts high power from the primary node to a lower, medium-level power that that can then be distributed to other nodes.",1516,-129.978895,45.92630167
RS03INT2,Axial Seamount International District 2 Cabled Junction Box,"A Junction Box (JBox) rests on the seafloor and is connected to shore via a series of fiber optic cables. Several instruments can be attached to a single Jbox and Jboxes can be connected to each other. Jboxes draw energy from the cables to power instruments and to transmit data from the instruments back to shore. In this way, Jboxes act like both a power strip and a converter. The OOI employs three kinds of Jboxes: Low Voltage (LV) Node, Low-Power (LP) Jbox, and Medium Power (MP) JBox. LV Nodes convert high power from the primary node to a lower power that can then be distributed LP or MP Jboxes and cabled moorings. LV Nodes cannot directly connect to instruments. LP Jboxes directly connect to instruments and receive power from LV Nodes. LP Jboxes convert power from LV Nodes into the appropriate power for their associated instruments. The MP Jbox can draw power from either a primary node or a LV Node as well as connect directly to instruments and other Jboxes. The MP Jbox converts high power from the primary node to a lower, medium-level power that that can then be distributed to other nodes.",1526,-129.9777567,45.925825
RS04ASPI,Axial Seamount Axial Summit Cabled Primary Node,"Primary Nodes are connected to the land-based shore station in Pacific City, Oregon via fiber-optic cables. These nodes convert high power from the shore station to a lower power and distribute that power and communication to junction boxes along the Juan de Fuca Plate through their science ports. Primary Nodes also receive data and communications from the junction boxes which they transmit back to shore.",,,
RS05MPPI,Mid Plate Primary Infrastructure Cabled Primary Node,"Primary Nodes are connected to the land-based shore station in Pacific City, Oregon via fiber-optic cables. These nodes convert high power from the shore station to a lower power and distribute that power and communication to junction boxes along the Juan de Fuca Plate through their science ports. Primary Nodes also receive data and communications from the junction boxes which they transmit back to shore.",,,
